,index,breakdown,breakdownTotal,name,e91 Video Completes,e17 Form Success,Granularity
0,0,"[{'name': 'www.servicenow.com/success/plan/it/cmdb-deployment.html', 'url': '', 'counts': ['2', '0']}, {'name': 'www.servicenow.com/success/value-calculator-hr-form-1.html', 'url': '', 'counts': ['0', '8']}, {'name': 'www.servicenow.com/lpbp/where-to-start-the-implementation-with-servicenow.html', 'url': '', 'counts': ['0', '5']}, {'name': 'www.servicenow.com/lpbp/populate-and-maintain-your-cmdb-with-servicenow-discovery.html', 'url': '', 'counts': ['0', '4']}, {'name': 'www.servicenow.com/success/value-calculator-it-form-1.html', 'url': '', 'counts': ['0', '2']}, {'name': 'www.servicenow.com/lpbp/seven-implementation-essentials.html', 'url': '', 'counts': ['0', '1']}, {'name': 'www.servicenow.com/success/plan/start-implementation.html', 'url': '', 'counts': ['0', '1']}, {'name': 'www.servicenow.com/lpbp/get-started-with-performance-analytics.html', 'url': '', 'counts': ['0', '1']}, {'name': 'www.servicenow.com/lpbp/plan-for-successful-cmdb.html', 'url': '', 'counts': ['0', '1']}]","['2', '23']",ISP Visitor,2,23,Mon. 23 Jul. 2018
1,1,"[{'name': 'www.servicenow.com/lpbp/plan-for-successful-cmdb.html', 'url': '', 'counts': ['0', '5']}, {'name': 'www.servicenow.com/lpbp/hr-knowledge-management.html', 'url': '', 'counts': ['0', '2']}, {'name': 'www.servicenow.com/success/value-calculator-intelligent-apps-form-1.html', 'url': '', 'counts': ['0', '2']}, {'name': 'www.servicenow.com/lpbp/integrate-your-tenable-securitycenter-with-servicenow.html', 'url': '', 'counts': ['0', '1']}, {'name': 'www.servicenow.com/success/value-calculator-it-form-1.html', 'url': '', 'counts': ['0', '1']}, {'name': 'www.servicenow.com/lpbp/innovate-at-scale.html', 'url': '', 'counts': ['0', '1']}, {'name': 'www.servicenow.com/lpbp/where-to-start-the-implementation-with-servicenow.html', 'url': '', 'counts': ['0', '1']}, {'name': 'www.servicenow.com/lpbp/improve-self-service.html', 'url': '', 'counts': ['0', '1']}]","['0', '14']",Not In List,0,14,Mon. 23 Jul. 2018
2,2,"[{'name': 'www.servicenow.com/lpbp/integrate-your-tenable-securitycenter-with-servicenow.html', 'url': '', 'counts': ['0', '5']}]","['0', '5']",ACCT0019679,0,5,Mon. 23 Jul. 2018
3,3,"[{'name': 'www.servicenow.com/lpbp/get-started-with-performance-analytics.html', 'url': '', 'counts': ['0', '2']}]","['0', '2']",ACCT0048703,0,2,Mon. 23 Jul. 2018
4,4,"[{'name': 'www.servicenow.com/lpbp/plan-for-successful-cmdb.html', 'url': '', 'counts': ['0', '2']}]","['0', '2']",ACCT0003100,0,2,Mon. 23 Jul. 2018
5,5,"[{'name': 'www.servicenow.com/success/value-calculator-it-form-1.html', 'url': '', 'counts': ['0', '2']}]","['0', '2']",ACCT0000257,0,2,Mon. 23 Jul. 2018
6,6,"[{'name': 'www.servicenow.com/lpbp/get-started-with-performance-analytics.html', 'url': '', 'counts': ['0', '2']}]","['0', '2']",ACCT0076549,0,2,Mon. 23 Jul. 2018
7,7,"[{'name': 'www.servicenow.com/lpbp/software-asset-mgmt.html', 'url': '', 'counts': ['0', '1']}]","['0', '1']",ACCT0033501,0,1,Mon. 23 Jul. 2018
8,8,"[{'name': 'www.servicenow.com/success/value-calculator-it-form-1.html', 'url': '', 'counts': ['0', '1']}]","['0', '1']",ACCT0026532,0,1,Mon. 23 Jul. 2018
9,9,"[{'name': 'www.servicenow.com/lpbp/plan-for-successful-cmdb.html', 'url': '', 'counts': ['0', '1']}]","['0', '1']",ACCT0080398,0,1,Mon. 23 Jul. 2018
,,,,,,,
,,,,,,,
,,www.servicenow.com/success/plan/it/cmdb-deployment.html,,,,,
,,www.servicenow.com/lpbp/plan-for-successful-cmdb.html,,,,,
,,www.servicenow.com/success/value-calculator-hr-form-1.html,,,,,
,,www.servicenow.com/lpbp/where-to-start-the-implementation-with-servicenow.html,,,,,
,,www.servicenow.com/lpbp/integrate-your-tenable-securitycenter-with-servicenow.html,,,,,
,,www.servicenow.com/success/value-calculator-it-form-1.html,,,,,
,,www.servicenow.com/lpbp/get-started-with-performance-analytics.html,,,,,
,,www.servicenow.com/lpbp/populate-and-maintain-your-cmdb-with-servicenow-discovery.html,,,,,
,,www.servicenow.com/lpbp/hr-knowledge-management.html,,,,,
,,www.servicenow.com/success/value-calculator-intelligent-apps-form-1.html,,,,,
